"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 07, 2021","354.6044","333.4512","369.0000","326.4608","123.86K","6.34%"
"Oct 06, 2021","333.4512","336.9371","340.2136","315.4751","81.58K","-1.04%"
"Oct 05, 2021","336.9401","339.1757","343.9673","329.2523","66.32K","-0.65%"
"Oct 04, 2021","339.1375","346.3328","347.0677","325.4319","79.47K","-2.08%"
"Oct 03, 2021","346.3328","352.9897","357.1864","341.6948","55.06K","-2.02%"
"Oct 02, 2021","353.4759","348.9910","364.8376","341.1632","71.17K","1.30%"
"Oct 01, 2021","348.9430","331.5249","353.6941","328.7268","112.27K","5.25%"
"Sep 30, 2021","331.5249","322.7307","336.5681","320.9574","91.46K","2.70%"
"Sep 29, 2021","322.7968","317.8721","341.2947","314.2520","100.89K","1.50%"
"Sep 28, 2021","318.0205","315.0634","343.8172","308.9390","179.87K","0.94%"
"Sep 27, 2021","315.0634","324.1058","346.5175","314.8562","107.27K","-2.80%"
"Sep 26, 2021","324.1306","326.9903","333.0167","301.0875","107.76K","-0.96%"
"Sep 25, 2021","327.2571","332.5436","338.8600","321.0255","71.85K","-1.59%"
"Sep 24, 2021","332.5436","358.0481","364.9059","301.8847","205.07K","-7.12%"
"Sep 23, 2021","358.0481","348.4619","358.6884","338.3549","101.66K","2.75%"
"Sep 22, 2021","348.4619","305.2652","351.3801","298.8795","173.89K","14.15%"
"Sep 21, 2021","305.2652","332.8155","349.0175","297.4940","185.21K","-7.95%"
"Sep 20, 2021","331.6310","400.7231","401.5045","326.5278","213.63K","-17.24%"
"Sep 19, 2021","400.7231","418.5462","423.7852","395.2784","76.37K","-4.27%"
"Sep 18, 2021","418.6003","388.9214","421.6630","385.2615","100.88K","7.63%"
"Sep 17, 2021","388.9214","409.4661","416.9213","384.1325","104.12K","-5.01%"
"Sep 16, 2021","409.4451","428.8186","440.8122","400.6246","149.77K","-4.52%"
"Sep 15, 2021","428.8186","416.9166","434.8017","405.3227","118.97K","2.92%"
"Sep 14, 2021","416.6469","404.7243","438.1943","396.5618","178.72K","2.95%"
